figure,panel,series,object_removal_ratio,object_removal_percent,yan_2017,li_2021,zhang_2025,lin_2018,xi_2022,proposed
Figure_14,a,Landuse,0.0,0,1.0,1.0,1.0,1.0,1.0,0.9992060340153568
Figure_14,a,Landuse,0.1,10,0.998,1.0,0.92,0.8641,1.0,0.9992060340153568
Figure_14,a,Landuse,0.3,30,0.998,1.0,0.87,0.5529,1.0,0.9992060340153568
Figure_14,a,Landuse,0.5,50,0.9932,1.0,0.82,0.5529,1.0,0.9992060340153568
Figure_14,a,Landuse,0.7,70,0.9443,0.4932,0.69,0.5696,0.9326,0.9984114366459336
Figure_14,a,Landuse,0.9,90,0.4521,0.4844,0.65,0.5821,0.8115,0.9550264147612774
Figure_14,b,Average,0.0,0,0.983,1.0,1.0,0.858,0.921,0.998010758651958
Figure_14,b,Average,0.1,10,0.982,0.832,0.93,0.794,0.919,0.9976125018657505
Figure_14,b,Average,0.3,30,0.979,0.749,0.9,0.655,0.911,0.997613137870147
Figure_14,b,Average,0.5,50,0.97,0.749,0.87,0.616,0.903,0.9951068844638852
Figure_14,b,Average,0.7,70,0.798,0.662,0.75,0.557,0.883,0.9850675652097437
Figure_14,b,Average,0.9,90,0.593,0.567,0.69,0.558,0.838,0.9301749220376925
