figure,panel,attack_family,condition_label,display_x,display_unit,semantic_x,semantic_unit,yan_2017,li_2021,zhang_2025,lin_2018,xi_2022,proposed
Figure_15,a,rotation,rotation_0_degree,0,degree,0.0,degree,0.96688,1.0,1.0,1.0,1.0,0.998010758651958
Figure_15,a,rotation,rotation_45_degree,45,degree,45.0,degree,0.486,0.493,1.0,0.861,0.921,0.9986757756122301
Figure_15,a,rotation,rotation_90_degree,90,degree,90.0,degree,0.5,0.501,1.0,0.861,0.921,0.9974766705881214
Figure_15,a,rotation,rotation_135_degree,135,degree,135.0,degree,0.479,0.502,1.0,0.861,0.921,0.9986781922514251
Figure_15,a,rotation,rotation_180_degree,180,degree,180.0,degree,0.452,0.441,1.0,0.861,0.921,0.999205612924705
Figure_15,a,rotation,rotation_225_degree,225,degree,225.0,degree,0.496,0.495,1.0,0.861,0.921,0.9981453051513389
Figure_15,a,rotation,rotation_270_degree,270,degree,270.0,degree,0.474,0.501,1.0,0.861,0.921,0.9972134070203756
Figure_15,a,rotation,rotation_315_degree,315,degree,315.0,degree,0.48,0.492,1.0,0.861,0.921,0.9982784767600533
Figure_15,a,rotation,rotation_360_degree,360,degree,360.0,degree,0.9668,1.0,1.0,1.0,1.0,0.998010758651958
Figure_15,b,scaling,no_attack_baseline,0,percent,0.0,baseline,0.96688,1.0,1.0,1.0,1.0,0.998010758651958
Figure_15,b,scaling,scaling_factor_0.1,10,percent,0.1,scaling_factor,0.896,1.0,1.0,0.558,0.531,1.0
Figure_15,b,scaling,scaling_factor_0.5,50,percent,0.5,scaling_factor,0.983,1.0,1.0,0.667,0.52,0.9993380457356262
Figure_15,b,scaling,scaling_factor_0.9,90,percent,0.9,scaling_factor,0.918,1.0,1.0,0.553,0.518,0.9997353446717856
Figure_15,b,scaling,scaling_factor_1.3,130,percent,1.3,scaling_factor,0.908,1.0,1.0,0.555,0.519,0.9993388862482551
Figure_15,b,scaling,scaling_factor_1.7,170,percent,1.7,scaling_factor,0.901,1.0,1.0,0.562,0.522,0.9990723351607036
Figure_15,b,scaling,scaling_factor_2.1,210,percent,2.1,scaling_factor,0.905,1.0,1.0,0.562,0.52,0.9989402186288808
Figure_15,c,translation,translation_0_unit,0,map_unit,0.0,map_unit,0.96688,1.0,1.0,1.0,1.0,0.998010758651958
Figure_15,c,translation,translation_10_units,10,map_unit,10.0,map_unit,0.964,1.0,1.0,0.861,0.921,0.9988073638886513
Figure_15,c,translation,translation_20_units,20,map_unit,20.0,map_unit,0.964,1.0,1.0,0.861,0.921,0.9990729683946165
Figure_15,c,translation,translation_30_units,30,map_unit,30.0,map_unit,0.964,1.0,1.0,0.861,0.921,0.9990729683946165
Figure_15,c,translation,translation_40_units,40,map_unit,40.0,map_unit,0.885,1.0,1.0,0.861,0.921,0.9988077848961533
Figure_15,c,translation,translation_50_units,50,map_unit,50.0,map_unit,0.885,1.0,1.0,0.861,0.921,0.9986750362245441
Figure_15,c,translation,translation_60_units,60,map_unit,60.0,map_unit,0.885,1.0,1.0,0.861,0.921,0.9985422846907931
